Td	ID	Tj	Df	Dd	Db	
942	2455	554	52	336	388
944	2414	505	49	390	439
945	838	939	3	3	6
946	2744	942	0	4	4
948	2749	943	0	5	5
949	643	707	91	151	242
950	2747	943	0	7	7
951	2501	611	58	282	340
953	2203	223	27	703	730
953	2556	671	60	222	282
954	2391	472	40	442	482
955	2143	169	17	769	786
956	2755	949	0	7	7
958	2761	953	0	5	5
959	2596	736	64	159	223
959	2763	957	0	2	2
960	2754	949	0	11	11
960	553	602	36	322	358
962	2758	952	0	10	10
965	2561	677	62	226	288
968	831	934	26	8	34
970	2776	967	0	3	3
970	2770	959	0	11	11
973	2782	970	0	3	3
974	2598	745	66	163	229
975	2180	208	22	745	767
978	740	824	48	106	154
979	2786	975	0	4	4
981	778	884	95	2	97
982	2186	210	22	750	772
982	2292	340	36	606	642
982	2777	968	0	14	14
982	416	442	104	436	540
985	2790	978	0	7	7
986	568	622	38	326	364
988	2794	982	0	6	6
990	2578	693	62	235	297
992	2800	985	0	7	7
997	2805	994	0	3	3
997	2793	982	0	15	15
997	2801	990	0	7	7
998	2442	529	54	415	469
1000	2232	261	27	712	739
1001	724	800	42	159	201
1001	752	840	159	2	161
1004	2808	997	0	7	7
1005	2812	1000	0	5	5
1006	2373	454	35	517	552
1006	2814	1003	0	3	3
1007	2479	588	58	361	419
1009	2809	997	0	12	12
1010	2377	457	36	517	553
1011	2618	770	74	167	241
1011	728	805	4	202	206
1013	2824	1010	0	3	3
1013	601	663	40	310	350
1013	612	673	40	300	340
1013	460	487	34	492	526
1013	640	705	46	262	308
1013	462	487	34	492	526
1013	655	720	50	243	293
1013	578	628	35	350	385
1013	545	594	35	384	419
1013	229	233	10	770	780
1013	493	530	34	449	483
1013	516	544	73	396	469
1013	359	375	18	620	638
1013	513	542	36	435	471
1013	219	215	16	782	798
1013	430	462	68	483	551
1013	487	515	36	462	498
1013	634	702	44	267	311
1013	559	606	37	370	407
1013	392	418	27	568	595
1013	356	374	18	621	639
1013	468	491	147	375	522
1013	689	746	46	221	267
1013	472	497	34	482	516
1013	501	533	34	446	480
1013	400	423	27	563	590
1013	614	677	40	296	336
1013	556	605	75	333	408
1013	441	471	35	507	542
1013	543	592	36	385	421
1013	650	716	134	163	297
1013	329	338	22	653	675
1013	239	243	17	753	770
1013	387	405	27	581	608
1013	483	508	36	469	505
1013	428	458	68	487	555
1013	589	646	38	329	367
1013	294	297	23	693	716
1013	419	445	67	501	568
1013	405	431	31	551	582
1013	207	200	15	798	813
1013	278	281	18	714	732
1013	317	321	27	665	692
1013	270	270	17	726	743
1013	324	334	24	655	679
1013	315	320	45	648	693
1013	551	597	36	380	416
1013	287	292	22	699	721
1013	197	196	15	802	817
1013	279	281	18	714	732
1013	443	474	34	505	539
1013	277	281	18	714	732
1013	226	229	11	773	784
1013	352	371	44	598	642
1013	211	212	27	774	801
1013	142	130	28	855	883
1013	283	290	67	656	723
1013	220	217	0	796	796
1013	101	100	8	905	913
1014	2273	320	34	660	694
1015	2823	1010	0	5	5
1015	2820	1009	0	6	6
1016	709	791	0	225	225
1018	2817	1006	0	12	12
1022	2410	499	47	476	523
1022	2832	1020	0	2	2
1024	2829	1019	0	5	5
1024	2833	1020	0	4	4
1030	2837	1024	0	6	6
1030	741	824	48	158	206
1032	2830	1019	0	13	13
1036	2819	1009	0	27	27
1037	2831	1020	3	14	17
1037	2828	1019	0	18	18
1038	2551	667	59	312	371
1043	2502	611	59	373	432
1043	2844	1037	0	6	6
1045	2555	671	60	314	374
1047	2848	1038	0	9	9
1050	2853	1040	0	10	10
1051	2174	204	22	825	847
1053	456	484	34	535	569
1056	2243	281	25	750	775
1056	2851	1039	0	17	17
1056	2849	1039	0	17	17
1059	2852	1040	0	19	19
1061	939	1060	0	1	1
1061	938	1060	0	1	1
1064	2397	478	40	546	586
1064	2868	1062	0	2	2
1064	533	566	39	459	498
1064	567	616	39	409	448
1064	708	786	41	237	278
1064	680	741	45	278	323
1064	632	699	44	321	365
1064	670	734	46	284	330
1064	403	431	31	602	633
1064	591	646	38	380	418
1064	369	383	24	657	681
1064	410	437	31	596	627
1064	364	382	22	660	682
1064	639	703	45	316	361
1064	323	334	24	706	730
1064	313	320	24	720	744
1064	326	335	24	705	729
1064	351	370	17	677	694
1064	86	88	20	956	976
1064	79	79	0	985	985
1067	2859	1057	0	10	10
1067	699	768	39	260	299
1069	654	719	89	261	350
1071	2471	573	52	446	498
1071	588	642	38	391	429
1073	2602	751	66	256	322
1076	2874	1069	0	7	7
1077	2515	632	58	387	445
